	Organization		Sponsorship Category		Years		Allocation																						
	Laya of Berkeley		SAG		1		$400																						
	Le Cercle Français of Berkeley		SAG		12		$390																						
	Legends of Berkeley		SAG		3		$500																						
	Liberty in North Korea at Berkeley		SAG		15		"$1,500"																						
	Lindy on Sproul		SAG		9		"$1,500"																						
	Machine Learning at Berkeley		SAG		1		Sponsorship Only																						
	Main Stacks Dance Team		SAG		11		$320																						
	"Management, Entrepreneurship, & Technology Student Board"		SAG		1		Sponsorship Only																						
	Mariachi Luz de Oro		SAG		8		$500																						
	Materials Science and Engineering Association		SAG		4		$500																						
	Math Tournament at Berkeley		SAG		2		$400																						
	Mathematics Undergraduate Student Association		SAG		3		$500																						
	Medical Tech at Berkeley		SAG		1		Sponsorship Only																						
	Mexican Association of Students at Berkeley		SAG		5		$500																						
	Microbial Biology Graduate Student Group		SAG		2		Sponsorship Only																						
	Microbial Sciences Association		SAG		3		$500																						
	Microfinance at Berkeley		SAG		7		"$1,000"																						
	Mileage Runners of Berkeley		SAG		2		$400																						
	Mind Body Nutrition: Students for Integrative and Preventive Medicine		SAG		3		$500																						
	Mixed @ Berkeley Recruitment and Retention Center		SAG		22		Sponsorship Only																						
	Molecular and Cell Biology Cell Developmental Neurobiological Association		SAG		6		$500																						
	Molecular Cell Biology Undergraduate Student Association		SAG		6		"$1,120"																						
	"Movement, The"		SAG		19		"$5,500"																						
	Muslim Student Association		SAG		33		"$14,900"																						
	NAMI on Campus at Berkeley		SAG		4		Sponsorship Only																						
	National Organization for Women		SAG		1		$400																						
	Natya at Berkeley		SAG		6		$500																						
	Next Generation Consulting		SAG		1		$400																						
	Nigerian Students Association		SAG		3		$500																						
	Nikkei Choral Ensemble		SAG		3		$500																						
	Nikkei Student Union		SAG		17		"$2,500"																						
	"Out In Science, Technology, Engineering, and Mathematics"		SAG		9		Sponsorship Only																						
	Outlet		SAG		6		$400																						
	OWN IT at Berkeley		SAG		1		$400																						
	Pakistani Student Association		SAG		17		"$1,500"																						
	Parliamentary Debate at Berkeley		SAG		10		"$2,700"																						
	Partners in Health Engage at Berkeley		SAG		2		$370																						
	Partnership for Pre-Professional Pilipinxs		SAG		19		"$1,300"																						
	Peers Espousing Amiability Cooperation and Education		SAG		7		$400																						
	"Phi Alpha Delta Law Fraternity, International"		SAG		11		$700																						
	Phi Alpha Theta		SAG		16		$850																						
	Phi Chi Pre-Health Fraternity		SAG		1		$400																						
	Phi Delta Epsilon		SAG		12		$500																						
	Phoenix Consulting Group		SAG		1		$400																						
	Phoenix Symphony at Berkeley		SAG		5		"$1,400"																						
	Pi Sigma Epsilon		SAG		5		"$1,000"																						
	Pi Tau Sigma		SAG		5		$500																						
	Pilipino American Alliance		SAG		29		"$15,000"																						
	Pilipino Association for Health Careers		SAG		27		"$5,650"																						
	"Pilipino Association of Scientists, Architects, and Engineers"		SAG		31		"$2,100"																						
	Pilipino Basketball Association		SAG		4		$105																						
	Pointe of Berkeley		SAG		3		$500																						
	Pokemon Club at Berkeley		SAG		7		$300																						
